a.wav	あ.wav
ba.wav	ば.wav
be.wav	べ.wav
bi.wav	び.wav
bo.wav	ぼ.wav
bu.wav	ぶ.wav
bya.wav	びゃ.wav
bye.wav	びぇ.wav
byo.wav	びょ.wav
byu.wav	びゅ.wav
cha.wav	ちゃ.wav
che.wav	ちぇ.wav
chi.wav	ち.wav
cho.wav	ちょ.wav
chu.wav	ちゅ.wav
da.wav	だ.wav
de.wav	で.wav
di.wav	でぃ.wav
do.wav	ど.wav
du.wav	どぅ.wav
dyu.wav	でゅ.wav
e.wav	え.wav
fa.wav	ふぁ.wav
fe.wav	ふぇ.wav
fi.wav	ふぃ.wav
fo.wav	ふぉ.wav
fu.wav	ふ.wav
ga.wav	が.wav
ge.wav	げ.wav
gi.wav	ぎ.wav
go.wav	ご.wav
gu.wav	ぐ.wav
gya.wav	ぎゃ.wav
gye.wav	ぎぇ.wav
gyo.wav	ぎょ.wav
gyu.wav	ぎゅ.wav
ha.wav	は.wav
he.wav	へ.wav
hi.wav	ひ.wav
ho.wav	ほ.wav
hya.wav	ひゃ.wav
hye.wav	ひぇ.wav
hyo.wav	ひょ.wav
hyu.wav	ひゅ.wav
i.wav	い.wav
ie.wav	いぇ.wav
ja.wav	じゃ.wav
je.wav	じぇ.wav
ji.wav	じ.wav
jo.wav	じょ.wav
ju.wav	じゅ.wav
ka.wav	か.wav
ke.wav	け.wav
ki.wav	き.wav
ko.wav	こ.wav
ku.wav	く.wav
kya.wav	きゃ.wav
kye.wav	きぇ.wav
kyo.wav	きょ.wav
kyu.wav	きゅ.wav
ma.wav	ま.wav
me.wav	め.wav
mi.wav	み.wav
mo.wav	も.wav
mu.wav	む.wav
mya.wav	みゃ.wav
mye.wav	みぇ.wav
myo.wav	みょ.wav
myu.wav	みゅ.wav
n.wav	ん.wav
na.wav	な.wav
ne.wav	ね.wav
nga.wav	カ゜.wav
nge.wav	ケ゜.wav
ngi.wav	キ゜.wav
ngo.wav	コ゜.wav
ngu.wav	ク゜.wav
ngya.wav	キ゜ャ.wav
ngye.wav	キ゜ェ.wav
ngyo.wav	キ゜ョ.wav
ngyu.wav	キ゜ュ.wav
ni.wav	に.wav
no.wav	の.wav
nu.wav	ぬ.wav
nya.wav	にゃ.wav
nye.wav	にぇ.wav
nyo.wav	にょ.wav
nyu.wav	にゅ.wav
o.wav	お.wav
pa.wav	ぱ.wav
pe.wav	ぺ.wav
pi.wav	ぴ.wav
po.wav	ぽ.wav
pu.wav	ぷ.wav
pya.wav	ぴゃ.wav
pye.wav	ぴぇ.wav
pyo.wav	ぴょ.wav
pyu.wav	ぴゅ.wav
ra.wav	ら.wav
re.wav	れ.wav
ri.wav	り.wav
ro.wav	ろ.wav
ru.wav	る.wav
rya.wav	りゃ.wav
rye.wav	りぇ.wav
ryo.wav	りょ.wav
ryu.wav	りゅ.wav
sa.wav	さ.wav
se.wav	せ.wav
sha.wav	しゃ.wav
she.wav	しぇ.wav
shi.wav	し.wav
sho.wav	しょ.wav
shu.wav	しゅ.wav
si.wav	すぃ.wav
so.wav	そ.wav
su.wav	す.wav
ta.wav	た.wav
te.wav	て.wav
ti.wav	てぃ.wav
to.wav	と.wav
tsa.wav	つぁ.wav
tse.wav	つぇ.wav
tsi.wav	つぃ.wav
tso.wav	つぉ.wav
tsu.wav	つ.wav
tu.wav	とぅ.wav
tyu.wav	てゅ.wav
u.wav	う.wav
ue.wav	うぇ.wav
ui.wav	うぃ.wav
uo.wav	うぉ.wav
wa.wav	わ.wav
ya.wav	や.wav
yo.wav	よ.wav
yu.wav	ゆ.wav
za.wav	ざ.wav
ze.wav	ぜ.wav
zi.wav	ずぃ.wav
zo.wav	ぞ.wav
zu.wav	ず.wav
